,# correlated features
PF3D7_1041000.iso1.exon2.amp1_1280,1
PF3D7_1040900.iso1.exon2.amp1_2143,1
PF3D7_1040700.iso1.exon2.amp1_419,1
PF3D7_1040600.iso1.exon2.amp1_2150,1
PF3D7_1040400.iso1.exon2.amp1_2156,1
PF3D7_1040300.iso1.exon2.amp1_997,1
PF3D7_1040100.iso1.exon2.amp1_3299,1
PF3D7_1040000.iso1.exon2.amp1_1585,1
PF3D7_1038700.2o2_4597,1
PF3D7_1038600.2o2_3987,1
PF3D7_1038500.2o2_403,1
PF3D7_1038400.e7s1_943,1
PF3D7_1038400.e3s1_3151,1
PF3D7_1038400.e1s1_946,1
PF3D7_1036400.e2s2_2150,1
PF3D7_1036400.1o2_1668,1
PF3D7_1036300.1o1_2407,1
PF3D7_1036000.1o1_739,1
PF3D7_1035700.e1s1_4814,1
PF3D7_1035600.1o1_1713,1
PF3D7_1035200.1o1_117,1
PF3D7_1028700.1o1_4309,1
PF3D7_1028200.1o1_4269,1
PF3D7_1025400.2o3_1100,1
PF3D7_1025400.1o13_2320,1
PF3D7_1025400.12o13_376,1
PF3D7_1025400.11o13_1354,1
PF3D7_1023100.e1s6_1457,1
PF3D7_1023100.e1s4_1787,1
PF3D7_1023000.1o1_740,1
PF3D7_1022300.2o6_385,1
PF3D7_1022200.e5s1_5099,1
PF3D7_1022200.e4s1_235,1
PF3D7_1022200.e2s1_565,1
PF3D7_1022200.e1s1_2508,1
PF3D7_1021900.e1s3_1572,1
PF3D7_1021900.e1s2_918,1
PF3D7_1021900.e1s1_1242,1
PF3D7_1021700.e4s1_1850,1
PF3D7_1021700.e3s1_4120,1
PF3D7_1021700.e2s3_3519,1
PF3D7_1021700.e2s2_3201,1
PF3D7_1021700.e2s1_3525,1
PF3D7_1021700.e1s3_3848,1
PF3D7_1021700.e1s2_2552,1
PF3D7_1021300.1o2_1350,1
PF3D7_1020600.iso1.exon3.amp3_754,1
PF3D7_1020600.iso1.exon3.amp2_524,1
PF3D7_1019500.iso2.exon20.amp1_905,1
PF3D7_1019500.1.9o25_2051,1
PF3D7_1019500.1.6o25_1727,1
PF3D7_1019300.iso1.exon1.amp2_1043,1
PF3D7_1016900.e1s1_231,1
PF3D7_1016700.iso1.exon2.amp1_3820,1
PF3D7_1016700.iso1.exon1.amp1_1312,1
PF3D7_1016600.2o2_1688,1
PF3D7_1016500.e2s1_4172,1
